identity,p90,Pj,simulator_power_cost,simulator_mean_tracking_monetary,legacy_economic_term,legacy_tracking_transform,legacy_qos,legacy_full,paper_M_RSR,paper_Ctrack,paper_CQoS,paper_full,legacy_minus_paper
c005_a3463391848_r2381098110,0.247,"[0.0, 0.17475778190063906, 0.0, 0.1522459804409083]",37.003600000000006,0.5735782187777778,37.003600000000006,2.17879984841319,54.274636540566945,93.45703638898014,37.57717821877778,0.46285625355038446,54.274636540566945,92.3146710128951,1.1423653760850385
c005_a3463391848_r2495920665,0.247,"[0.0, 0.164553700267986, 0.0, 0.14064312945466595]",37.003600000000006,0.5812898173333334,37.003600000000006,2.250286874042412,53.81353557806392,93.06742245210634,37.58488981733334,0.46285625355038446,53.81353557806392,91.86128164894765,1.2061408031586893
c005_a3463391848_r3463391848,0.242,"[0.0, 0.1626984126984128, 0.0, 0.140228741919443]",37.003600000000006,0.566790975388889,37.003600000000006,2.1169670218967185,53.765449424285016,92.88601644618174,37.5703909753889,0.44462066950155305,53.765449424285016,91.78046106917546,1.105555377006283
c005_a422443260_r1841060571,0.348,"[0.0, 0.005990856061800498, 0.025857484711512835, 0.028025690216031296]",37.003600000000006,0.859258677888889,37.003600000000006,5.66793251561672,48.944015347158015,91.61554786277475,37.862858677888894,0.9616748743957433,48.944015347158015,87.76854889944264,3.846998963332112
c005_a422443260_r2381098110,0.343,"[0.0, 0.013085290871827193, 0.038620047859611706, 0.029110017516056352]",37.003600000000006,0.8560623095555556,37.003600000000006,5.619588583014127,49.33122530873415,91.95441389174829,37.85966230955556,0.9310837825796715,49.33122530873415,88.12197140086937,3.8324424908789183
c005_a422443260_r2495920665,0.352,"[0.0, 0.006095958799726797, 0.02971284232916771, 0.024272249562098502]",37.003600000000006,0.8596877399444446,37.003600000000006,5.67443767260117,48.94793405008548,91.62597172268666,37.863287739944454,0.986573094164618,48.94793405008548,87.79779488419456,3.828176838492098
c005_a422443260_r422443260,0.344,"[0.0, 0.012559777182195586, 0.04107950013294326, 0.029693886062223673]",37.003600000000006,0.8565547230555556,37.003600000000006,5.6270226823729335,49.37871719595347,92.00933987832641,37.86015472305556,0.9371544503321098,49.37871719595347,88.17602636934114,3.8333135089852703
c005_a598775175_r1841060571,0.256,"[0.0, 0.0, 0.0, 0.12662683146435294]",37.003600000000006,0.695236029,37.003600000000006,3.45628765484261,50.29090144730448,90.7507891021471,37.698836029000006,0.4971544503321099,50.29090144730448,88.48689192663659,2.2638971755105075
c005_a598775175_r2381098110,0.261,"[0.0, 0.0, 0.0, 0.12949169190472287]",37.003600000000006,0.6955556658333334,37.003600000000006,3.4600581088968463,50.34980595059148,90.81346405948833,37.69915566583334,0.517040396695427,50.34980595059148,88.56600201312024,2.247462046368085
c005_a598775175_r2495920665,0.254,"[0.0, 0.0, 0.0, 0.12097896373905215]",37.003600000000006,0.6959386541111112,37.003600000000006,3.464578673073097,50.17525589527082,90.64343456834393,37.699538654111116,0.48936721747427736,50.17525589527082,88.36416176685621,2.2792728014877213
