case_id,phase,tier,workload,category,J,bank_id,method,N,U,scenario_seed,confirmation_seeds,candidate_bank_seed,starts,iterations,search_budget,max_workers,weight_policy
c008,1,SERIOUS_DEVELOPMENT,W2-short-qos5555,ORIGINAL_W2,4,6649b1b0b3fcb7375fee87d068965398e41f3191c8df004f624914c10f272a42,argos_early_stop,1000,0.8,3629940106,"[2238113419, 367509909]",300008,512,1500,32,4,fixed
c009,2,SCREENING,MIX4-TTTI,CLEAN_J4_COMPOSITION,4,fccd50c8e50e2cc267d0bede9b96275ea357e1d32a47b56191d3b427052210e2,v3_only,1000,0.6,786185295,"[1877359141, 2108440999]",300009,128,500,1,4,fixed
c009,2,SCREENING,MIX4-TTTI,CLEAN_J4_COMPOSITION,4,fccd50c8e50e2cc267d0bede9b96275ea357e1d32a47b56191d3b427052210e2,v3_fixed_probing,1000,0.6,786185295,"[1877359141, 2108440999]",300009,128,500,16,4,fixed
c009,2,SCREENING,MIX4-TTTI,CLEAN_J4_COMPOSITION,4,fccd50c8e50e2cc267d0bede9b96275ea357e1d32a47b56191d3b427052210e2,simulator_only_adaptive,1000,0.6,786185295,"[1877359141, 2108440999]",300009,0,0,16,4,fixed
c009,2,SCREENING,MIX4-TTTI,CLEAN_J4_COMPOSITION,4,fccd50c8e50e2cc267d0bede9b96275ea357e1d32a47b56191d3b427052210e2,argos_fixed_budget,1000,0.6,786185295,"[1877359141, 2108440999]",300009,128,500,16,4,fixed
c009,2,SCREENING,MIX4-TTTI,CLEAN_J4_COMPOSITION,4,fccd50c8e50e2cc267d0bede9b96275ea357e1d32a47b56191d3b427052210e2,argos_early_stop,1000,0.6,786185295,"[1877359141, 2108440999]",300009,128,500,16,4,fixed
c010,2,SCREENING,MIX4-TTIT,CLEAN_J4_COMPOSITION,4,b28b0175bc07a14892d6d9faff75281e6407bb4e7452be7478d5f3a7452294e5,v3_only,1000,0.6,132059925,"[710399503, 1322971793]",300010,128,500,1,4,fixed
c010,2,SCREENING,MIX4-TTIT,CLEAN_J4_COMPOSITION,4,b28b0175bc07a14892d6d9faff75281e6407bb4e7452be7478d5f3a7452294e5,v3_fixed_probing,1000,0.6,132059925,"[710399503, 1322971793]",300010,128,500,16,4,fixed
c010,2,SCREENING,MIX4-TTIT,CLEAN_J4_COMPOSITION,4,b28b0175bc07a14892d6d9faff75281e6407bb4e7452be7478d5f3a7452294e5,simulator_only_adaptive,1000,0.6,132059925,"[710399503, 1322971793]",300010,0,0,16,4,fixed
c010,2,SCREENING,MIX4-TTIT,CLEAN_J4_COMPOSITION,4,b28b0175bc07a14892d6d9faff75281e6407bb4e7452be7478d5f3a7452294e5,argos_fixed_budget,1000,0.6,132059925,"[710399503, 1322971793]",300010,128,500,16,4,fixed
c010,2,SCREENING,MIX4-TTIT,CLEAN_J4_COMPOSITION,4,b28b0175bc07a14892d6d9faff75281e6407bb4e7452be7478d5f3a7452294e5,argos_early_stop,1000,0.6,132059925,"[710399503, 1322971793]",300010,128,500,16,4,fixed
c011,2,SCREENING,MIX4-TTII,CLEAN_J4_COMPOSITION,4,d78ccdf6341e5925082cf0859f9125408c5d17ec30c6656dd79a6905237a4a0c,v3_only,1000,0.6,2517480955,"[3220273805, 996699313]",300011,128,500,1,4,fixed
c011,2,SCREENING,MIX4-TTII,CLEAN_J4_COMPOSITION,4,d78ccdf6341e5925082cf0859f9125408c5d17ec30c6656dd79a6905237a4a0c,v3_fixed_probing,1000,0.6,2517480955,"[3220273805, 996699313]",300011,128,500,16,4,fixed
c011,2,SCREENING,MIX4-TTII,CLEAN_J4_COMPOSITION,4,d78ccdf6341e5925082cf0859f9125408c5d17ec30c6656dd79a6905237a4a0c,simulator_only_adaptive,1000,0.6,2517480955,"[3220273805, 996699313]",300011,0,0,16,4,fixed
c011,2,SCREENING,MIX4-TTII,CLEAN_J4_COMPOSITION,4,d78ccdf6341e5925082cf0859f9125408c5d17ec30c6656dd79a6905237a4a0c,argos_fixed_budget,1000,0.6,2517480955,"[3220273805, 996699313]",300011,128,500,16,4,fixed
c011,2,SCREENING,MIX4-TTII,CLEAN_J4_COMPOSITION,4,d78ccdf6341e5925082cf0859f9125408c5d17ec30c6656dd79a6905237a4a0c,argos_early_stop,1000,0.6,2517480955,"[3220273805, 996699313]",300011,128,500,16,4,fixed
c012,2,SCREENING,MIX4-TITT,CLEAN_J4_COMPOSITION,4,a4aae88948d647f6e2b39256dda304ab9fd1445eed5bdcf78000b413f108bfb5,v3_only,1000,0.6,2591920543,"[3281640404, 961381231]",300012,128,500,1,4,fixed
c012,2,SCREENING,MIX4-TITT,CLEAN_J4_COMPOSITION,4,a4aae88948d647f6e2b39256dda304ab9fd1445eed5bdcf78000b413f108bfb5,v3_fixed_probing,1000,0.6,2591920543,"[3281640404, 961381231]",300012,128,500,16,4,fixed
c012,2,SCREENING,MIX4-TITT,CLEAN_J4_COMPOSITION,4,a4aae88948d647f6e2b39256dda304ab9fd1445eed5bdcf78000b413f108bfb5,simulator_only_adaptive,1000,0.6,2591920543,"[3281640404, 961381231]",300012,0,0,16,4,fixed
c012,2,SCREENING,MIX4-TITT,CLEAN_J4_COMPOSITION,4,a4aae88948d647f6e2b39256dda304ab9fd1445eed5bdcf78000b413f108bfb5,argos_fixed_budget,1000,0.6,2591920543,"[3281640404, 961381231]",300012,128,500,16,4,fixed
c012,2,SCREENING,MIX4-TITT,CLEAN_J4_COMPOSITION,4,a4aae88948d647f6e2b39256dda304ab9fd1445eed5bdcf78000b413f108bfb5,argos_early_stop,1000,0.6,2591920543,"[3281640404, 961381231]",300012,128,500,16,4,fixed
c013,2,SCREENING,MIX4-TITI,CLEAN_J4_COMPOSITION,4,ff50ea7e49e0ad8de28a301009fe5b12a2c4fdf3a17059645f34a18ee0f0da0b,v3_only,1000,0.6,3546795728,"[4100188289, 3804305859]",300013,128,500,1,4,fixed
c013,2,SCREENING,MIX4-TITI,CLEAN_J4_COMPOSITION,4,ff50ea7e49e0ad8de28a301009fe5b12a2c4fdf3a17059645f34a18ee0f0da0b,v3_fixed_probing,1000,0.6,3546795728,"[4100188289, 3804305859]",300013,128,500,16,4,fixed
c013,2,SCREENING,MIX4-TITI,CLEAN_J4_COMPOSITION,4,ff50ea7e49e0ad8de28a301009fe5b12a2c4fdf3a17059645f34a18ee0f0da0b,simulator_only_adaptive,1000,0.6,3546795728,"[4100188289, 3804305859]",300013,0,0,16,4,fixed
c013,2,SCREENING,MIX4-TITI,CLEAN_J4_COMPOSITION,4,ff50ea7e49e0ad8de28a301009fe5b12a2c4fdf3a17059645f34a18ee0f0da0b,argos_fixed_budget,1000,0.6,3546795728,"[4100188289, 3804305859]",300013,128,500,16,4,fixed
c013,2,SCREENING,MIX4-TITI,CLEAN_J4_COMPOSITION,4,ff50ea7e49e0ad8de28a301009fe5b12a2c4fdf3a17059645f34a18ee0f0da0b,argos_early_stop,1000,0.6,3546795728,"[4100188289, 3804305859]",300013,128,500,16,4,fixed
c014,2,SCREENING,MIX4-TIIT,CLEAN_J4_COMPOSITION,4,1427d3ef0109042837f3944456b8e452f67256ba0ceb61d6ff14608abfbca79e,v3_only,1000,0.6,2267187024,"[1819127895, 1348106590]",300014,128,500,1,4,fixed
c014,2,SCREENING,MIX4-TIIT,CLEAN_J4_COMPOSITION,4,1427d3ef0109042837f3944456b8e452f67256ba0ceb61d6ff14608abfbca79e,v3_fixed_probing,1000,0.6,2267187024,"[1819127895, 1348106590]",300014,128,500,16,4,fixed
c014,2,SCREENING,MIX4-TIIT,CLEAN_J4_COMPOSITION,4,1427d3ef0109042837f3944456b8e452f67256ba0ceb61d6ff14608abfbca79e,simulator_only_adaptive,1000,0.6,2267187024,"[1819127895, 1348106590]",300014,0,0,16,4,fixed
c014,2,SCREENING,MIX4-TIIT,CLEAN_J4_COMPOSITION,4,1427d3ef0109042837f3944456b8e452f67256ba0ceb61d6ff14608abfbca79e,argos_fixed_budget,1000,0.6,2267187024,"[1819127895, 1348106590]",300014,128,500,16,4,fixed
c014,2,SCREENING,MIX4-TIIT,CLEAN_J4_COMPOSITION,4,1427d3ef0109042837f3944456b8e452f67256ba0ceb61d6ff14608abfbca79e,argos_early_stop,1000,0.6,2267187024,"[1819127895, 1348106590]",300014,128,500,16,4,fixed
